dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.500687,14.021000,0.001019,0.040766,0.815321,16.306419,6.282972
0.050000,0.503813,14.020998,0.004145,0.062516,0.434997,-7.606485,6.282001
0.050000,0.510840,14.020982,0.011172,0.140545,1.560581,22.511692,6.279810
0.050000,0.522534,14.020921,0.022866,0.233885,1.866797,6.124318,6.276140
0.050000,0.538868,14.020764,0.039201,0.326688,1.856062,-0.214701,6.270963
0.050000,0.559802,14.020437,0.060138,0.418737,1.840976,-0.301714,6.264242
0.050000,0.585286,14.019849,0.085628,0.509812,1.821503,-0.389471,6.255926
0.050000,0.615255,14.018883,0.115613,0.599693,1.797621,-0.477631,6.245954
0.050000,0.649631,14.017402,0.150021,0.688161,1.769355,-0.565317,6.234255
0.050000,0.688321,14.015246,0.188771,0.775001,1.736810,-0.650914,6.220745
0.050000,0.731216,14.012234,0.231772,0.860012,1.700217,-0.731846,6.205331
0.050000,0.778191,14.008159,0.278922,0.943013,1.660010,-0.804154,6.187910
0.050000,0.829102,14.002795,0.330115,1.023858,1.616900,-0.862192,6.168372
0.050000,0.883790,13.995887,0.385238,1.102457,1.571996,-0.898092,6.146602
0.050000,0.942081,13.987163,0.444178,1.178804,1.526925,-0.901412,6.122486
0.050000,1.003786,13.976323,0.506828,1.253003,1.483986,-0.858781,6.095914
0.050000,1.068708,13.963044,0.573094,1.325317,1.446287,-0.753979,6.066789
0.050000,1.136645,13.946980,0.642905,1.396210,1.417861,-0.568523,6.035040
0.050000,1.207400,13.927758,0.716224,1.466395,1.403692,-0.283380,6.000630
0.050000,1.280789,13.904976,0.793068,1.536875,1.409596,0.118087,5.963574
0.050000,1.356649,13.878195,0.873517,1.608968,1.441866,0.645404,5.923955
0.050000,1.434850,13.846942,0.957731,1.684299,1.506619,1.295047,5.881938
0.050000,1.515298,13.810694,1.045969,1.764740,1.608826,2.044149,5.837785
0.050000,1.597937,13.768880,1.138583,1.852297,1.751133,2.846140,5.791858
0.050000,1.682740,13.720879,1.236030,1.948931,1.932689,3.631114,5.744621
0.050000,1.769703,13.666025,1.338847,2.056349,2.148363,4.313475,5.696625
0.050000,1.858817,13.603625,1.447637,2.175786,2.388721,4.807177,5.648484
0.050000,1.950058,13.532983,1.563028,2.307835,2.640989,5.045360,5.600841
0.050000,2.043371,13.453433,1.685647,2.452379,2.890888,4.997963,5.554335
0.050000,2.138660,13.364370,1.816079,2.608625,3.124908,4.680401,5.509562
0.050000,2.235803,13.265283,1.954841,2.775244,3.332388,4.149611,5.467052
0.050000,2.334659,13.155773,2.102370,2.950587,3.506850,3.489235,5.427250
0.050000,2.435098,13.035566,2.259015,3.132904,3.646352,2.790050,5.390513
0.050000,2.537021,12.904505,2.425043,3.320554,3.752987,2.132695,5.357113
0.050000,2.640387,12.762543,2.600650,3.512146,3.831850,1.577250,5.327250
0.050000,2.745239,12.609723,2.785982,3.706640,3.889879,1.160585,5.301074
0.050000,2.851720,12.446160,2.981152,3.903383,3.934859,0.899592,5.278698
0.050000,2.960090,12.272020,3.186257,4.102119,3.974728,0.797389,5.260224
0.050000,3.070744,12.087508,3.401407,4.302981,4.017230,0.850036,5.245763
0.050000,3.184229,11.892850,3.626730,4.506473,4.069842,1.052252,5.235447
0.050000,3.300767,11.689162,3.861400,4.693393,3.738402,-6.628807,5.229472
0.050000,3.420055,11.478860,4.103178,4.835558,2.843302,-17.902004,5.228013
0.050000,3.541360,11.265417,4.348683,4.910100,1.490834,-27.049360,5.231121
0.050000,3.664083,11.052141,4.594747,4.921286,0.223725,-25.342170,5.238683
0.050000,3.788216,10.841178,4.839521,4.895482,-0.516074,-14.795982,5.250513
0.050000,3.914170,10.633762,5.082186,4.853289,-0.843872,-6.555957,5.266435
0.050000,4.042628,10.430520,5.322620,4.808681,-0.892163,-0.965822,5.286326
0.050000,4.174202,10.232075,5.560721,4.762031,-0.932989,-0.816535,5.310082
0.050000,4.309424,10.039062,5.796388,4.713336,-0.973914,-0.818489,5.337599
0.050000,4.448722,9.852150,6.029498,4.662198,-1.022760,-0.976928,5.368753
0.050000,4.592398,9.672046,6.259889,4.607825,-1.087455,-1.293894,5.403378
0.050000,4.740594,9.499499,6.487341,4.549047,-1.175557,-1.762048,5.441249
0.050000,4.893264,9.335286,6.711560,4.484374,-1.293455,-2.357943,5.482065
0.050000,5.050143,9.180187,6.932166,4.412110,-1.445284,-3.036582,5.525438
0.050000,5.210733,9.034947,7.148692,4.330521,-1.631784,-3.730003,5.570892
0.050000,5.374297,8.900228,7.360594,4.238050,-1.849413,-4.352581,5.617870
0.050000,5.539883,8.776548,7.567271,4.133544,-2.090121,-4.814171,5.665757
0.050000,5.706366,8.664240,7.768093,4.016441,-2.342062,-5.038809,5.713909
0.050000,5.872507,8.563411,7.962437,3.886880,-2.591230,-4.983353,5.761689
0.050000,6.037032,8.473928,8.149722,3.745696,-2.823674,-4.648885,5.808503
0.050000,6.198697,8.395428,8.329438,3.594312,-3.027676,-4.080048,5.853830
0.050000,6.356352,8.327346,8.501165,3.434547,-3.195305,-3.352577,5.897242
0.050000,6.508987,8.268962,8.664585,3.268396,-3.323015,-2.554194,5.938412
0.050000,6.655750,8.219447,8.819477,3.097830,-3.411315,-1.766004,5.977114
0.050000,6.795961,8.177915,8.965708,2.924640,-3.463808,-1.049865,6.013216
0.050000,6.929093,8.143466,9.103226,2.750341,-3.485986,-0.443556,6.046660
0.050000,7.054765,8.115221,9.232032,2.576135,-3.484104,0.037649,6.077452
0.050000,7.172712,8.092342,9.352178,2.402919,-3.464326,0.395556,6.105643
0.050000,7.282769,8.074054,9.463744,2.231310,-3.432186,0.642792,6.131314
0.050000,7.384842,8.059648,9.566828,2.061694,-3.392324,0.797236,6.154567
0.050000,7.478895,8.048488,9.661542,1.894272,-3.348429,0.877913,6.175516
0.050000,7.564934,8.040006,9.747997,1.729107,-3.303299,0.902588,6.194274
0.050000,7.642988,8.033706,9.826305,1.566158,-3.258977,0.886453,6.210956
0.050000,7.713106,8.029152,9.896571,1.405314,-3.216887,0.841798,6.225669
0.050000,7.775345,8.025970,9.958892,1.246415,-3.177982,0.778088,6.238513
0.050000,7.829767,8.023840,10.013355,1.089272,-3.142867,0.702309,6.249577
0.050000,7.876431,8.022490,10.060039,0.933677,-3.111891,0.619515,6.258940
0.050000,7.915394,8.021696,10.099010,0.779415,-3.085238,0.533054,6.266671
0.050000,7.946705,8.021275,10.130323,0.626266,-3.062980,0.445166,6.272826
0.050000,7.970404,8.021085,10.154024,0.474010,-3.045121,0.357185,6.277451
0.050000,7.986526,8.021018,10.170145,0.322428,-3.031634,0.269744,6.280580
0.050000,7.995549,8.021002,10.179169,0.180470,-2.839171,3.849258,6.282326
0.050000,7.999202,8.021000,10.182821,0.073049,-2.148411,13.815191,6.283031
0.050000,8.000000,8.021000,10.183620,0.015969,-1.141604,20.136145,6.283185
0.050000,8.000000,8.021000,10.183620,0.000000,-0.319380,16.444473,6.283185
